id,project,category,subcategory,title,document,keywords,source
ELITUS_OVERVIEW_001,Praangan Elitus,overview,general,Project Name & Identity,"The project is named PRAANGAN Elitus. It is an ultra-luxury residential development featuring 2 magnificent towers.",name identity overview,website+pdf
ELITUS_OVERVIEW_002,Praangan Elitus,overview,general,Developer & Architect,"Developed by Praangan Infrastructure. Architecture, landscape, and interior design are managed by GEOMETRIK CONSULTANTS LLP.",developer architect,pdf
ELITUS_OVERVIEW_003,Praangan Elitus,overview,general,Luxury Positioning,"Designed for elite living with a Minimal Monumental Masterpiece style and internationally styled building architecture.",luxury premium design,pdf
ELITUS_OVERVIEW_004,Praangan Elitus,overview,general,Low Density Planning,"Intentionally developed with low density and a low Built-up to Land Area ratio for enhanced privacy and openness.",low density privacy,pdf
ELITUS_OVERVIEW_005,Praangan Elitus,overview,general,Podium Amenities,"Features a massive 68,000 Sq. Ft. exclusive podium floor dedicated to club-class amenities.",podium amenities luxury,pdf
ELITUS_LOCATION_001,Praangan Elitus,location,address,Exact Address,"Located Near Dehgam Circle, Opposite Bilasiya Bus Stop, Naroda Dehgam Road, Ahmedabad. Sits on a 198 Ft. Wide State Highway.",address location naroda,website+pdf
ELITUS_LOCATION_002,Praangan Elitus,location,connectivity,Airport Connectivity,"The International Airport is approximately 16 minutes away from the project.",airport connectivity,pdf
ELITUS_LOCATION_003,Praangan Elitus,location,connectivity,Railway Station,"The Railway Station is approximately 22 minutes away from the project.",railway station connectivity,pdf
ELITUS_LOCATION_004,Praangan Elitus,location,connectivity,SP Ring Road,"S.P. Ring Road is just 1 minute away from the project, ensuring excellent connectivity.",ring road connectivity,pdf
ELITUS_LOCATION_005,Praangan Elitus,location,landmark,Nearby Hospitals,"Akshar Hospital (5 min), Life Care Hospital (6 min), Shalby Hospital (8 min), and Ananta Hospital (12 min).",hospital healthcare proximity,pdf
ELITUS_LOCATION_006,Praangan Elitus,location,landmark,Nearby Schools,"The South International School (10 min), S.P. Genesis School (10 min), Devasya International School (10 min), and R.P. Vasani International School (15 min).",school education proximity,pdf
ELITUS_LOCATION_007,Praangan Elitus,location,landmark,Shopping & Entertainment,"Cineworld (2 min), Dmart (4 min), Miraj Cinema (5 min), Mango Cinema (10 min). Narendra Modi Stadium is 20 mins away.",shopping cinema entertainment,pdf
ELITUS_CONFIG_001,Praangan Elitus,configuration,unit,4 BHK Configuration,"Spacious 4 BHK Ultra Luxurious Apartments. Super Built-up Area: 5,562 sq. ft. Approx Carpet Area: 3,200 sq. ft.",4 bhk configuration size,pdf
ELITUS_CONFIG_002,Praangan Elitus,configuration,unit,5 BHK Configuration,"Premium 5 BHK Ultra Luxurious Apartments. Super Built-up Area: 6,840 sq. ft. Approx Carpet Area: 4,200 sq. ft.",5 bhk configuration size,pdf
ELITUS_CONFIG_003,Praangan Elitus,configuration,unit,Total Units,"The project consists of a total of 128 flats spread across 2 residential blocks (Block A and Block B).",total units inventory,pdf
ELITUS_FEATURE_001,Praangan Elitus,feature,layout,Tower Separation,"Boasts the highest margin of 135 ft between both blocks for maximum privacy and ventilation.",tower gap privacy,pdf
ELITUS_FEATURE_002,Praangan Elitus,feature,layout,Private Lift Foyer,"Each floor features an approx 85 ft long & 15 ft wide lavish lift foyer. 4 access-controlled elevators open directly into personal corridors.",private lift foyer,pdf
ELITUS_FEATURE_003,Praangan Elitus,feature,layout,No Common Walls,"Absolutely no common walls between any units, ensuring complete acoustic and visual privacy.",privacy wall isolation,pdf
ELITUS_FEATURE_004,Praangan Elitus,feature,layout,Floor Height,"Offers an impressive 11 Ft Floor-to-Floor height for a grand spatial experience.",height ceiling spacious,pdf
ELITUS_FEATURE_005,Praangan Elitus,feature,layout,Balcony Design,"Master bedrooms feature large cantilevered overhanging balconies. Living areas feature cantilevered sky decks with panoramic views.",balcony sky deck,pdf
ELITUS_HOME_001,Praangan Elitus,home_features,utility,Servant Quarter,"Each unit includes a staff quarter with an en-suite toilet, separate entry connected to the wash yard and kitchen.",servant room utility,pdf
ELITUS_HOME_002,Praangan Elitus,home_features,utility,Wash Yard & Dry Balcony,"4 BHK Dry Balcony: 10'2"" X 7'5"". 5 BHK Dry Balcony: 12'4"" X 7'0"". Dedicated space for AC outdoor units.",wash yard ac utility,pdf
ELITUS_HOME_003,Praangan Elitus,home_features,layout,Puja Space,"4 BHK Puja Room: 6'0"" X 5'3"". 5 BHK Puja Room: 6'8"" X 4'0"". Dedicated spiritual space in all units.",puja room spiritual,pdf
ELITUS_HOME_004,Praangan Elitus,home_features,layout,Living Room Dimensions,"4 BHK Living Room: 23'9"" X 20'10"". 5 BHK Living Room: 26'0"" X 23'10"". Spacious family and dining zones.",living room dimensions,pdf
ELITUS_HOME_005,Praangan Elitus,home_features,layout,Kitchen & Store,"4 BHK Kitchen: 11'0"" X 13'4"". 5 BHK Kitchen: 12'7"" X 13'4"". Attached store rooms included (4 BHK: 6'8""X5'7"", 5 BHK: 6'8""X6'0"").",kitchen store pantry,pdf
ELITUS_HOME_006,Praangan Elitus,home_features,layout,Bedroom Configuration,"4 BHK has 2 Master Bedrooms + 2 En-suite Bedrooms. 5 BHK has 3 Master Bedrooms + 2 En-suite Bedrooms. All bedrooms are en-suite.",bedroom master ensuite,pdf
ELITUS_AMENITY_001,Praangan Elitus,amenity,fitness,Gym & Yoga,"Well-equipped gym, Zumba & Dance Studio, and a Yoga & Meditation Area surrounded by calming waters.",gym yoga wellness,pdf
ELITUS_AMENITY_002,Praangan Elitus,amenity,fitness,Jogging & Reflexology,"Approx 400 Meters long walkway/jogging track combined with a reflexology path for holistic wellness.",jogging reflexology track,pdf
ELITUS_AMENITY_003,Praangan Elitus,amenity,water,Swimming Pools,"Features a splash pool and a shallow swimming pool located on the 68,000 sq. ft. amenities floor.",swimming pool splash,pdf
ELITUS_AMENITY_004,Praangan Elitus,amenity,sports,Sports Courts,"Includes Pickle Ball Court, Badminton Court, Multi-Purpose Game Court, Box Cricket/Cricket Practice Net, and Skating Rink.",sports cricket badminton,pdf
