id,project,category,subcategory,title,document,keywords,source
ELITUS_OVERVIEW_001,Praangan Elitus,overview,general,Project Name & Identity,"The project is named PRAANGAN Elitus. It is an ultra-luxury residential development featuring 2 magnificent towers.",name identity overview project praangan elitus ultra luxury,website+pdf
ELITUS_OVERVIEW_002,Praangan Elitus,overview,general,Developer & Architect,"Developed by Praangan Infrastructure. Architecture landscape and interior design are managed by GEOMETRIK CONSULTANTS LLP.",developer builder architect geometrik infrastructure,pdf
ELITUS_OVERVIEW_003,Praangan Elitus,overview,general,Luxury Positioning,"Designed for elite living with a Minimal Monumental Masterpiece style and internationally styled building architecture.",luxury premium design elite minimal monumental masterpiece,pdf
ELITUS_OVERVIEW_004,Praangan Elitus,overview,general,Low Density Planning,"Intentionally developed with low density and a low Built-up to Land Area ratio for enhanced privacy and openness.",low density privacy open space land ratio,pdf
ELITUS_OVERVIEW_005,Praangan Elitus,overview,general,Podium Amenities Floor,"Features a massive 68000 Sq. Ft. exclusive podium floor dedicated to club-class amenities on the 2nd floor.",podium amenities luxury 68000 sqft second floor club,pdf
ELITUS_OVERVIEW_006,Praangan Elitus,overview,general,Total Towers & Blocks,"The project consists of 2 towers also called blocks — Block A and Block B.",towers blocks 2 block a block b residential,pdf
ELITUS_OVERVIEW_007,Praangan Elitus,overview,general,Total Floors,"The buildings stand 18 floors tall. Out of 18 total floors 16 are dedicated residential floors.",floors 18 total 16 residential height,pdf
ELITUS_OVERVIEW_008,Praangan Elitus,overview,general,Total Units Inventory,"The project consists of a total of 128 flats spread across 2 residential blocks.",total units 128 flats inventory availability,pdf
ELITUS_LOCATION_001,Praangan Elitus,location,address,Exact Address,"Located Near Dehgam Circle Opposite Bilasiya Bus Stop Naroda Dehgam Road Ahmedabad. Sits on a 198 Ft. Wide State Highway.",address location naroda dehgam circle bilasiya bus stop ahmedabad highway,website+pdf
ELITUS_LOCATION_002,Praangan Elitus,location,connectivity,Airport Connectivity,"The International Airport is approximately 16 minutes away from the project.",airport 16 minutes connectivity proximity ahmedabad international airport,pdf
ELITUS_LOCATION_003,Praangan Elitus,location,connectivity,Railway Station,"The Railway Station is approximately 22 minutes away from the project.",railway station 22 minutes train connectivity,pdf
ELITUS_LOCATION_004,Praangan Elitus,location,connectivity,SP Ring Road,"S.P. Ring Road is just 1 minute away from the project ensuring excellent connectivity.",ring road sp ring road 1 minute highway connectivity,pdf
ELITUS_LOCATION_005,Praangan Elitus,location,connectivity,Naroda Dehgam Road,"The main Naroda Dehgam Road is just 2 minutes away from the project.",naroda dehgam road 2 minutes main road connectivity,pdf
ELITUS_LOCATION_006,Praangan Elitus,location,landmark,Nearby Hospitals,"Akshar Hospital 5 min. Life Care Hospital 6 min. Shalby Hospital 8 min. Ananta Hospital 12 min.",hospital akshar lifecare shalby ananta healthcare medical 5 6 8 12 minutes proximity,pdf
ELITUS_LOCATION_007,Praangan Elitus,location,landmark,Nearby Schools,"The South International School 10 min. S.P. Genesis School 10 min. Devasya International School 10 min. R.P. Vasani International School 15 min.",school south genesis devasya vasani international education 10 15 minutes,pdf
ELITUS_LOCATION_008,Praangan Elitus,location,landmark,Shopping & Entertainment Nearby,"Cineworld 2 min. Dmart 4 min. Miraj Cinema 5 min. Mango Cinema 10 min. Narendra Modi Stadium 20 min.",cineworld dmart miraj mango cinema stadium narendra modi shopping entertainment 2 4 5 10 20 minutes,pdf
ELITUS_LOCATION_009,Praangan Elitus,location,road,Road Width,"The project is situated on a prominent 198 ft. wide State Highway.",road highway 198 ft width state highway frontage,pdf
ELITUS_CONFIG_001,Praangan Elitus,configuration,unit,4 BHK Configuration,"Spacious 4 BHK Ultra Luxurious Apartments. Super Built-up Area 5562 sq. ft. Approx Carpet Area 3200 sq. ft.",4 bhk flat size area 5562 sqft carpet 3200 ultra luxury apartment,pdf
ELITUS_CONFIG_002,Praangan Elitus,configuration,unit,5 BHK Configuration,"Premium 5 BHK Ultra Luxurious Apartments. Super Built-up Area 6840 sq. ft. Approx Carpet Area 4200 sq. ft.",5 bhk flat size area 6840 sqft carpet 4200 ultra luxury apartment premium,pdf
ELITUS_CONFIG_003,Praangan Elitus,configuration,unit,Available Unit Types,"Praangan Elitus offers exclusively 4 BHK and 5 BHK Ultra Luxurious Apartments.",4 bhk 5 bhk unit type available configuration flat apartment,pdf
ELITUS_CONFIG_004,Praangan Elitus,configuration,layout,4 BHK Layout,"The 4 BHK units feature 2 master bedrooms a spacious living/family room en-suite design for all bedrooms and a private lift lobby.",4 bhk layout 2 master bedroom living room ensuite private lift lobby design,pdf
ELITUS_CONFIG_005,Praangan Elitus,configuration,layout,5 BHK Layout,"The 5 BHK units feature 3 master bedrooms a grand living room a powder room for guests a dedicated puja space and a private lift lobby.",5 bhk layout 3 master bedroom living room powder room puja private lift lobby,pdf
ELITUS_FEATURE_001,Praangan Elitus,feature,layout,Tower Separation,"Boasts the highest margin of 135 ft between both blocks for maximum privacy ventilation and open views.",tower gap 135 ft privacy ventilation open view separation blocks,pdf
ELITUS_FEATURE_002,Praangan Elitus,feature,layout,Private Lift Foyer,"Each floor features an approx 85 ft long and 15 ft wide lavish lift foyer. 4 access-controlled elevators open directly into personal corridors.",private lift foyer 85 ft 15 ft access controlled elevator corridor lobby personal,pdf
ELITUS_FEATURE_003,Praangan Elitus,feature,layout,No Common Walls,"Absolutely no common walls between any units ensuring complete acoustic and visual privacy.",no common wall privacy acoustic isolation independent unit,pdf
ELITUS_FEATURE_004,Praangan Elitus,feature,layout,Floor Height,"Offers an impressive 11 Ft Floor-to-Floor height for a grand spatial experience.",floor height 11 ft ceiling spacious grand height floor to floor,pdf
ELITUS_FEATURE_005,Praangan Elitus,feature,layout,Balcony & Sky Deck,"Master bedrooms feature large cantilevered overhanging balconies. Living areas feature cantilevered sky decks with panoramic views.",balcony sky deck cantilever panoramic view master bedroom living area,pdf
ELITUS_FEATURE_006,Praangan Elitus,feature,entrance,Grand Entrance Gate,"The project features a 20 ft tall grand entrance gate.",entrance gate 20 ft height grand gateway,pdf
ELITUS_FEATURE_007,Praangan Elitus,feature,entrance,Entry & Exit Points,"There are 2 distinct entry and exit points for seamless vehicle movement.",entry exit 2 points vehicle gate access,pdf
ELITUS_FEATURE_008,Praangan Elitus,feature,entrance,Arrival Foyer Height,"Features an impressive 15 ft high entrance arrival foyer inside the building.",foyer arrival 15 ft height interior entrance lobby,pdf
