id,project,category,subcategory,title,document,keywords,source
ELITUS_OVERVIEW_001,Praangan Elitus,overview,general,Project Overview,"Praangan Elitus is an ultra-luxury residential project located in Naroda Ahmedabad offering premium lifestyle residences with world-class amenities.",overview luxury project,website+pdf
ELITUS_OVERVIEW_002,Praangan Elitus,overview,general,Developer,"Praangan Elitus is developed by Praangan Infrastructure.",developer builder,website+pdf
ELITUS_OVERVIEW_003,Praangan Elitus,overview,general,Luxury Positioning,"The project is designed for luxury living with premium planning and elite amenities.",luxury premium,pdf
ELITUS_OVERVIEW_004,Praangan Elitus,overview,general,Architecture,"Praangan Elitus features modern architecture inspired by global luxury standards.",architecture design,pdf
ELITUS_OVERVIEW_005,Praangan Elitus,overview,general,Podium Concept,"A full podium floor is dedicated to amenities and recreation.",podium amenities,pdf
ELITUS_OVERVIEW_006,Praangan Elitus,overview,general,Low Density,"The project follows low-density planning for improved privacy and openness.",low density privacy,pdf
ELITUS_LOCATION_001,Praangan Elitus,location,address,Address,"Praangan Elitus is located near Dehgam Circle opposite Bilasiya Bus Stop Naroda Ahmedabad.",address location,website+pdf
ELITUS_LOCATION_002,Praangan Elitus,location,connectivity,Airport Road,"The project has easy connectivity to Airport Road.",airport road,pdf
ELITUS_LOCATION_003,Praangan Elitus,location,connectivity,SP Ring Road,"Praangan Elitus is well connected to SP Ring Road.",ring road,pdf
ELITUS_LOCATION_004,Praangan Elitus,location,connectivity,Naroda Dehgam Road,"The project is close to Naroda Dehgam Road.",naroda dehgam,pdf
ELITUS_LOCATION_005,Praangan Elitus,location,connectivity,Narol Naroda Road,"The project has access to Narol Naroda Road.",narol naroda,pdf
ELITUS_LOCATION_006,Praangan Elitus,location,landmark,D Mart,"D Mart is located near the project.",shopping,pdf
ELITUS_LOCATION_007,Praangan Elitus,location,landmark,Naroda Lake,"Naroda Lake is a nearby landmark.",lake,pdf
ELITUS_LOCATION_008,Praangan Elitus,location,landmark,Hospital,"Major hospitals are nearby for healthcare access.",hospital healthcare,pdf
ELITUS_LOCATION_009,Praangan Elitus,location,landmark,School,"Reputed schools are located near Praangan Elitus.",school education,pdf
ELITUS_CONFIG_001,Praangan Elitus,configuration,unit,4 BHK,"Praangan Elitus offers spacious 4 BHK residences.",4 bhk,pdf
ELITUS_CONFIG_002,Praangan Elitus,configuration,unit,5 BHK,"Praangan Elitus offers premium 5 BHK residences.",5 bhk,pdf
ELITUS_FEATURE_001,Praangan Elitus,feature,layout,Margin Between Towers,"Approximately 135 feet gap exists between residential towers.",tower gap privacy,pdf
ELITUS_FEATURE_002,Praangan Elitus,feature,layout,Private Lift Foyer,"Each residence has private lift access and exclusive foyer.",private lift,pdf
ELITUS_FEATURE_003,Praangan Elitus,feature,layout,No Common Walls,"Residences are designed without common walls for privacy.",privacy wall,pdf
ELITUS_FEATURE_004,Praangan Elitus,feature,layout,Floor Height,"Floor to floor height is approximately 11 feet.",height ceiling,pdf
ELITUS_FEATURE_005,Praangan Elitus,feature,layout,Luxury Foyer,"The lavish foyer provides premium arrival experience.",foyer,pdf
ELITUS_HOME_001,Praangan Elitus,home_features,utility,Servant Room,"Residences include servant room with attached toilet.",servant room,pdf
ELITUS_HOME_002,Praangan Elitus,home_features,utility,Wash Yard,"Each residence includes dedicated wash yard.",wash yard,pdf
ELITUS_HOME_003,Praangan Elitus,home_features,utility,AC Outdoor Space,"Dedicated AC outdoor unit placement is provided.",ac utility,pdf
ELITUS_HOME_004,Praangan Elitus,home_features,layout,Puja Space,"Residences include dedicated puja space.",puja,pdf
ELITUS_HOME_005,Praangan Elitus,home_features,layout,Large Living Room,"Homes feature spacious living and dining zones.",living room,pdf
ELITUS_FAQ_001,Praangan Elitus,faq,overview,Overview FAQ,"What is Praangan Elitus? Praangan Elitus is an ultra-luxury residential project in Naroda Ahmedabad.",overview faq,synthetic
ELITUS_FAQ_002,Praangan Elitus,faq,location,Location FAQ,"Where is Praangan Elitus located? It is near Dehgam Circle in Naroda Ahmedabad.",location faq,synthetic
ELITUS_FAQ_003,Praangan Elitus,faq,configuration,4 BHK FAQ,"Does Elitus offer 4 BHK? Yes, spacious 4 BHK units are available.",4 bhk faq,synthetic
ELITUS_FAQ_004,Praangan Elitus,faq,configuration,5 BHK FAQ,"Does Elitus offer 5 BHK? Yes, premium 5 BHK residences are available.",5 bhk faq,synthetic
ELITUS_FAQ_005,Praangan Elitus,faq,feature,Privacy FAQ,"Does Elitus provide privacy? Yes, residences have no common walls.",privacy faq,synthetic
ELITUS_AMENITY_001,Praangan Elitus,amenity,fitness,Gym,"Praangan Elitus includes a modern gym with premium fitness equipment.",gym fitness workout,pdf
ELITUS_AMENITY_002,Praangan Elitus,amenity,fitness,Yoga Studio,"Dedicated yoga studio is available for wellness and meditation.",yoga wellness,pdf
ELITUS_AMENITY_003,Praangan Elitus,amenity,fitness,Zumba Studio,"A dedicated zumba and dance studio is available.",zumba dance,pdf
ELITUS_AMENITY_004,Praangan Elitus,amenity,fitness,Jogging Path,"Jogging path is available for walking and cardio exercise.",jogging walking,pdf
